ID,Name,Site,rotation,Soil,Position,Frost,Feeding,Companions,Spacing,Sow,Notes,Harvesting,Troubleshooting
1,Agastache,/plants/us-and-canada/how-to-grow-agastache/,Miscellaneous ●,Average garden soil with excellent drainage.,Full sun.,"Agastache seedlings can be damaged by spring frost, but established plants often survive winter in climates where the soil does not freeze.",Encourage fast growth by mixing a balanced organic fertilizer into the soil before planting.,"Cabbage, Grape Vine, Mint and Echinacea. The tall, arching flower spikes of agastache contrast beautifully with shorter, mound-forming flowers like alyssum or petunias. Agastache attracts bees and other beneficial insects.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Set out stocky seedlings in late spring. Small agastache plants grow slowly at first, and gain size and bloom in late summer.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Agastache tolerates summer drought better than many other flowers. Popular cultivars like ‘Blue Fortune’ are hardy to 5F (-15C) when well established. Some varieties bloom rose-red or orange.,"As flower spikes fade, trim them off with scissors or pruning shears.",Agastache has few pest problems and is seldom eaten by deer. Heavy winter mulching can cause the dormant plants to rot.
2,Ageratum,/plants/us-and-canada/how-to-grow-ageratum/,Miscellaneous ●,"Fertile, well-drained soil.",Full sun to partial shade.,None. Ageratum cannot tolerate cold temperatures.,"Mix a light application of a balanced organic fertilizer into the soil prior to planting. In midsummer, drench plants with a liquid plant food to stimulate new growth.",Thyme and Osteospermum. Dwarf types make good edging plants for beds and containers. Tall varieties often are grown as cut flowers.,"Single Plants: 7"" (20cm) each way (minimum)
Rows: 7"" (20cm) with 11"" (30cm) row gap (minimum)","Sow tiny ageratum seeds atop moist seed starting mix and gently press them into the surface. Most gardeners buy ageratum seedlings, but only dwarf varieties are widely available as bedding plants. Space dwarf varieties 8 inches (20cm) apart in all directions; allow 12 inches (30cm) between very tall varieties.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Blue ageratum provides excellent contrast when combined with flowers with orange blossoms.  Some varieties produce white or pink blossoms.,"Snip off spent blossoms to keep plants looking neat, and to prolong flowering. Tall varieties make great cut flowers.","White ageratum blossoms go brown as they age, which is not as noticeable in varieties that bloom blue."
3,Allium (Ornamental),/plants/us-and-canada/how-to-grow-allium-ornamental/,Allium (Onion family) ●,Average garden soil with excellent drainage.,Full sun.,Excellent. Most of the popular ornamental onions are hardy to -25F (-32C).,"Topdress with rich compost in spring, when new growth appears. Fertilize with a liquid fertilizer in early summer, when the plants are in full leaf.","Allium, Garlic and Chives. The rounded flowers of many ornamental alliums work like colorful exclamation points in mixed flowerbeds. The leaves appear before the flowering spikes. In late summer, use bushy annual flowers to hide the fading foliage of spring-blooming alliums from view.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Set out dormant bulbs in the fall, or transplant container-grown plants in early spring. Cover the bulbs to four times their depth with loose soil. Allow 12in (30cm) between bulbs of most varieties; very small species can be planted closer.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Ornamental alliums often have a light lilac fragrance. Very tall cultivars may need staking to keep them upright. Lavender, purple, pink and white are the most common flower colors.","When using ornamental alliums as cut flowers, make a clean cut with a sharp knife or razor blade when less than half of the florets are open. As the flowers fade in the garden, trim them off with scissors or pruning shears.",Ornamental alliums have few pest problems and are seldom eaten by deer. Avoid very tall varieties in windy areas.
4,Almond,/plants/us-and-canada/how-to-grow-almonds/,Miscellaneous ●,"Rich, light soil with plenty of organic matter added.","Sunny, sheltered spot.","Yes, but it is important to choose  varieties known to grow well in your area to reduce risk of losing blooms to spring freezes. Cold damage to spring blossoms is a major limiting factor in where almonds can be successfully grown.",Topdress with  a generous mulch of well-rotted organic matter in spring along with a balanced organic fertilizer.,Tansy. Corridors within the orchard that are planted with clovers and other legumes contribute to soil fertility and attract pollinators.,"Single Plants: 19' 8"" (6.00m) each way (minimum)
Rows: 19' 8"" (6.00m) with 19' 8"" (6.00m) row gap (minimum)","Incorporate plenty of well-rotted organic matter when planting. A wide hole is better than a very deep one. Mulch after planting, and encircle the trunk with a wire cage or protective pipe to protect the young tree from animal and insect pests.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Healthy almond trees will bear for ten to fifteen years or more.,"Knock nuts down when they start to drop, then peel and dry them.",Keeping almond trees dry under cover or under plastic sheeting can help prevent peach leaf curl and rotting fruits. Poor growth and dieback can sometimes be treated with hard pruning and heavy applications of well-rotted organic matter.
5,Alyssum,/plants/us-and-canada/how-to-grow-alyssum/,Brassicas (Cabbage family) ●,Average garden soil.,Full sun to partial afternoon shade.,"Alyssum seedlings can tolerate light frost, but plants are often killed by freezing temperatures.",Fast growth is encouraged by mixing a balanced organic fertilizer into the soil before planting. Encourage reblooming with a liquid feed.,"Peas, Lettuce, Spinach, Lobelia, Heliotrope and Geranium. In white or pastel shades, alyssum in the perfect little flower to tuck into the corners of beds, or you can grow it beneath tall vegetables or among herbs. Alyssum is famous for attracting tiny wasps and other beneficial insects.","Single Plants: 5"" (15cm) each way (minimum)
Rows: 5"" (15cm) with 5"" (15cm) row gap (minimum)","Sow alyssum from early spring to early summer, and in autumn where winters are mild. Alyssum grows fast and often stops blooming in hot weather.  Broadcast seeds into cultivated soil or containers about 2 inches (5cm) apart, and barely cover them with soil. When the seedlings have more than four leaves, thin to 6 inches (15 cm) apart in all directions.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Can reseed if allowed to do so, but extra seedlings are easy to lift and move or pull out.","Tired alyssum plants often melt down in hot, humid conditions. As annual flowers go, they are short-lived.",< Back to All Plants
6,Amaranth (Grain),/plants/us-and-canada/how-to-grow-amaranth-grain/,Miscellaneous ●,"Adapts to most soils, but grows best in fertile, well-drained loam.",Full sun.,"Amaranth seeds need warm soil to germinate and can be damaged by spring frosts, so wait until the soil has begun to warm to plant this crop. Mature plants are easier to harvest after a light frost in the fall.","Before planting, amend the soil with a light application of a balanced organic fertilizer.",Beans and Peas.,"Single Plants: 1' 11"" (60cm) each way (minimum)
Rows: 1' 5"" (45cm) with 2' 11"" (90cm) row gap (minimum)","Plant from mid spring to early summer by sowing seeds barely covered with soil in uniform rows. Keep soil moist until the seedlings sprout. Weed by hand until the plants are 4 inches (10 cm) tall, gradually thinning plants to 18 inches (46 cm) apart. As the plants grow, they will shade out most summer weeds.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Amaranth is closely related to the weed known as red-rooted pigweed, so it can be difficult to tell the two plants apart. Amaranth grows to 4 to 6 feet (1.2 – 2 m) tall, and tall varieties may need staking to hold them upright when they become top-heavy with maturing seed clusters.   Varieties with light-colored seeds usually have the best flavor.","When you see birds pecking at your amaranth, or when seeds fall away from the cluster when gently rubbed, it is time to harvest your crop. When the weather is dry, bend over seed heads into a large bucket and clip them off. Working in a dry place, strip off the seeds, use a fan to winnow out debris, and spread the cleaned seeds on screens or trays to finish drying indoors.","Flea beetles often make small holes in leaves, while larger holes may be the work of night-flying beetles or Japanese beetles. Plant bugs (Lygus bugs) can cause serious damage when they feed on almost-mature plants."
7,Amaranth (Ornamental),/plants/us-and-canada/how-to-grow-amaranth-ornamental/,Miscellaneous ●,Any sunny site with good drainage.,Full sun.,Amaranth cannot tolerate cold temperatures.,"Mix a light application of a balanced organic fertilizer into the soil prior to planting.  In early summer, drench plants with a high-nitrogen liquid fertilizer to support vigorous growth.","Sunflower, Zinnia, Cleome and Nicotiana. Amaranth can grow to 6 feet (1.8m) tall, so it will dominate a group planting. Smaller varieties can be grown in large tubs.","Single Plants: 1' 5"" (45cm) each way (minimum)
Rows: 1' 5"" (45cm) with 1' 11"" (60cm) row gap (minimum)","Plant amaranth in late spring or early summer, after the last frost has passed and the soil is warm.  You can get an early start by growing seedlings indoors in late spring. Amaranth varieties that grow head  high require 24 inches (60 cm) between plants.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","The young leaves of most ornamental amaranth varieties can be picked and eaten as cooked greens. Tall varieties that produce large seed heads benefit from staking. Colors include dark red, orange and buff yellow.","Gather seed heads for fresh flower arrangements at any stage of maturity. Harvest seed heads for drying after most of the flowers have faded and the cluster feels firm. Hang up in a dry, well-ventilated place.","Night-flying beetles and other insects often chew holes in amaranth leaves, but the damage is mostly cosmetic."
8,Anemone,/plants/us-and-canada/how-to-grow-anemone/,Miscellaneous ●,Average to gritty garden soil with excellent drainage.,"Full sun in spring, sun to partial shade in summer.","Varies. Dainty white wood anemones are hardy to -20F (-30C), as are 'Grecian' anemones classified as A. blanda. Large-flowered florists anemones (A. coronaria) are hardy only to 0F (-18C) and are often grown as annuals.","Topdress with rich compost in spring, when new growth appears. Fertilize large-flowered anemones in early summer using a liquid feed",Daylily. Use large-flowered anemones as feature plants in the summer garden. Hardy spring-blooming anemones are ideal companions for tulips.,"Single Plants: 5"" (15cm) each way (minimum)
Rows: 5"" (15cm) with 5"" (15cm) row gap (minimum)","Soak the hard roots in water overnight before planting. Set out dormant roots in fall where they are hardy, or in early spring, planting them 3 inches (8 cm) deep. Plant in groups of three or more.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Wood anemones thrive when grown in soil rich with leaf mold. They naturalize beautifully in hospitable climates.,"Cut anemones to use in arrangements just as the blossoms open. As the flowers fade in the garden, trim them off with scissors or pruning shears.","Watch plants for problems with aphids or whiteflies, which can multiply rapidly. When caught early both pests can be controlled with insecticidal soap."
9,Apple (Cordon),/plants/us-and-canada/how-to-grow-cordon-apple-trees/,Miscellaneous ●,Prepare a large hole by breaking up the soil and adding plenty of compost or other organic matter.,Sun or partial shade.,Yes.,"Not required, unless closely spaced or just planted.",Chives and Nasturtium.,"Single Plants: 3' 3"" (1.00m) each way (minimum)
Rows: 2' 7"" (80cm) with 3' 11"" (1.20m) row gap (minimum)","Plant in mid-fall or early winter when it's not too cold for a little root growth to help them establish. Should be planted with at least one other apple tree which flowers at a similar time to aid pollination.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Prune towards the end of the season to remove any dead or overcrowded branches and to shape if required.,Harvest when apples are ripe.,< Back to All Plants
10,Apple (Dwarf),/plants/us-and-canada/how-to-grow-dwarf-apple-trees/,Miscellaneous ●,Prepare a large hole by breaking up the soil and adding plenty of compost or other organic matter.,Sun or partial shade.,Yes.,"Not required, unless closely spaced or just planted.","Chives, Nasturtium, Lavender and Garlic.","Single Plants: 3' 3"" (1.00m) each way (minimum)
Rows: 3' 3"" (1.00m) with 3' 3"" (1.00m) row gap (minimum)","Plant in mid-fall or early winter when it's not too cold for a little root growth to help them establish. Should be planted with at least one other apple tree which flowers at a similar time to aid pollination.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Prune towards the end of the season to remove any dead or overcrowded branches and to shape if required.,Harvest when apples are ripe.,< Back to All Plants
